tmdbid,title,revenue,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,yes,yes,yes 
8512,Devil in a Blue Dress,16030096,357096,17494,263472,4771,59967,245891,26390,10651,12150,2017,39918,27576,357096,15069,18420,260346,41670,238636,320,3580,979
1572,Die Hard: With a Vengeance,361212499,102899,11135,105,98566,49026,68721,201088,27205,2017,28358,106646,10193,102899,193893,75656,27576,954,49530,334074,14869,49849
18402,Something to Talk About,50892160,,,,,,,,,,,,,,,,,,,,,
6520,First Knight,127600435,762,19957,9078,11527,9477,166807,166818,18202,18978,42810,280236,6264,762,24793,,,,,,,
9886,Johnny Mnemonic,19075720,18839,23535,61954,17189,,,,,,,,,18839,,,,,,,,
9482,Judge Dredd,113493481,198663,49049,27576,11633,185063,10803,11234,26440,36677,50674,73920,322614,198663,26300,105231,109080,16220,52466,35453,52627,19877
19326,Jury Duty,17014653,12225,17731,26579,9005,59940,37265,249397,36915,18555,16048,13787,18167,12225,24469,14922,15705,16980,14662,41282,16548,13193
9344,Kids,7412216,7326,1631,1546,12689,659,11091,10190,10597,10636,428,10817,11312,7326,10566,1558,33050,171,14,796,88,408
9071,Living in Oblivion,1148752,263472,274854,76757,254470,109445,24428,257211,1771,24469,546,26579,14922,263472,106646,16980,12271,25968,603,49342,30302,216015
47608,Mad Love,15453274,10193,8065,12225,8358,949,489,284293,426,14578,195589,284536,581,10193,207,12620,9475,11321,5559,3021,37247,72976
2293,Mallrats,2,102899,99861,100402,24428,10195,76338,68721,1771,1726,10138,271110,1724,102899,284053,299536,283995,299534,284052,315635,299537,25041
1642,The Net,110627965,201088,27576,9654,605,604,284427,11859,782,24253,11576,10428,97,201088,37834,294652,9989,506,867,860,207270,2017
11472,Nine Months,69660733,76341,157336,13,225886,425,293863,9659,72105,602,597,50546,157353,76341,16553,239563,9494,11224,787,27022,129,212778
36196,Party Girl,472370,19053,14922,157336,179144,263472,26626,16980,16548,14578,12271,49584,240832,19053,76757,254470,109445,24469,106646,26579,9451,257211
11980,The Prophecy,16,1373,795,8067,28162,9997,227149,298025,47396,123553,22894,12159,1832,1373,1585,9033,38874,210514,21539,9011,11227,9411
1634,Free Willy,153698625,9073,18519,12707,158999,28313,57612,,,,,,,9073,,,,,,,,
10533,The Scarlet Letter,10,76341,843,11368,6637,8286,634,9716,639,311,10998,810,587,76341,744,38,1364,9801,8906,6690,258,1837
10802,Showgirls,20350754,27066,37265,10995,4507,36630,28468,110143,34093,263472,65496,12225,50270,27066,112160,50124,81774,867,316410,98025,219814,68718
10149,Smoke,8349430,24469,26579,39770,26626,19053,14922,11801,1967,12271,49342,16548,634,24469,9388,249397,1024,11307,7090,9451,12150,13342
79593,The Tie That Binds,5780000,,,,,,,,,,,,,,,,,,,,,
47939,Three Wishes,7025496,245891,105,272878,602,27576,489,97630,11431,924,9339,12230,13811,245891,16859,57214,10340,10948,5925,11024,293299,37136
36834,Total Eclipse,339889,711,283704,281790,205865,117483,255699,180222,101299,9502,9476,207,343683,711,590,109091,1247,28005,9499,61891,64678,922
3512,Under Siege 2 - Dark Territory,104324083,105,98566,49026,68721,201088,190859,27576,7461,3989,1979,954,334074,105,97630,110415,45612,5125,787,387,1572,36955
9560,A Walk in the Clouds,50008143,157336,4507,17612,14055,11801,179144,19913,11931,1791,292431,1259,24469,157336,14313,277216,300,103626,19053,12271,12774,857
9804,Waterworld,264218220,127585,228165,246655,674,22,1865,11836,14161,861,87827,285,10144,127585,644,27022,2756,1562,36668,77,36657,36658
50797,Utomlyonnye Solntsem,2616503,2253,68734,59967,77877,11113,9475,81025,11589,16642,63493,27932,13249,2253,513,71552,224330,86555,35056,56418,50875,23160
76,Before Sunrise,5535405,80,65186,1126,15624,7797,337,349,36029,,,,,80,,,,,,,,
11017,Billy Madison,26488734,,,,,,,,,,,,,,,,,,,,,
9382,Boys on the Side,23450000,920,100042,152532,11114,259433,9800,483,237791,14533,83770,1213,280960,920,4507,2887,158,8348,113833,1833,12489,5001
2292,Clerks,3151130,620,275,5236,9713,10985,63492,11302,74387,9927,11959,13094,1440,620,10978,13778,2610,3,9794,1419,11115,5177
1909,Don Juan DeMarco,22200000,1791,1259,14313,17612,103626,36630,11801,32689,77756,179144,24420,1643,1791,797,11931,489,979,249397,1024,292431,12531
4954,Drop zone,28735315,76341,201088,189,72784,27576,14869,137094,310133,1073,59940,158011,360784,76341,8834,4723,521,11336,10781,654,8461,1645
8467,Dumb and Dumber,247275374,602,23949,,,,,,,,,,,602,,,,,,,,
10451,Yin shi nan nu,7294403,49519,225886,22,393,58,14,238615,2062,52520,10144,285,74,49519,170,85350,879,138832,9373,1995,194,7350
18395,Exit to Eden,6841570,106646,16980,27576,11307,292431,489,4507,37265,14474,86331,316410,249397,106646,14313,16048,300,276,18167,179144,14055,19053
522,Ed Wood,5887457,546,1538,1581,401,4723,140,451,1675,10990,422,339,320006,546,37621,1539,7266,7280,2004,10273,258580,2536
15789,A Goofy Movie,35348597,254470,194662,109445,812,277216,9325,38757,10020,11238,11224,224141,46195,254470,41233,10674,621,11360,10882,15969,11631,872
27303,Hideaway,12201255,76341,135397,245891,168259,260346,101299,201088,293970,189,241554,158011,72784,76341,169917,562,193893,769,59967,27576,20526,10528
47867,Gordy,3992809,16769,324287,283347,120254,6477,69,134,10955,305204,284817,278231,252561,16769,218699,1677,9526,25196,2976,8436,525,11145
14275,Hoop Dreams,7830611,265330,114887,213308,128814,219874,39185,174850,7233,21972,7214,11652,287,265330,50379,10680,13260,326478,17108,297258,228653,226667
1024,Heavenly Creatures,3049135,25832,263472,1259,4507,109729,27066,41782,17612,36630,45007,29850,23949,25832,47244,44925,59940,101299,979,13,10856,12531
14819,Heavyweights,17689177,293970,38365,41630,2758,305829,88,9889,802,9327,13655,2171,14035,293970,236,44244,14144,40772,15417,17745,9725,342
628,Interview with the Vampire,223664608,102899,159824,49017,36648,534,26480,76492,76203,293863,68718,36647,16869,102899,954,2503,755,8966,11868,6637,707,75656
87729,Jefferson in Paris,2474000,262500,101299,285783,152532,181533,769,321697,106646,261023,277216,272878,602,262500,228970,266856,68734,72559,87492,138832,14869,227306
6280,Junior,108,76341,9494,11472,9356,4723,11862,4507,172785,5003,9659,195589,14444,76341,810,35203,37135,41210,2758,17347,257504,5562
11,Star Wars,775398007,140607,1891,1894,1892,20815,80829,24551,207950,130691,207949,248931,142262,140607,142260,,,,,,,
18183,Como agua para chocolate,21665468,157336,7839,13,225886,293863,602,11931,597,72207,6557,72105,50546,157336,3933,157353,11224,252838,787,27022,27576,489
4476,Legends of the Fall,160638883,196,11040,6637,497,194,581,616,1593,10046,199,26550,10204,196,7350,6038,8366,9369,907,10612,129670,488
28313,Losing Isaiah,7603766,37135,205220,819,41210,9494,617,1440,11091,1125,9623,2539,237,37135,5956,2731,14922,343921,3542,10822,9072,17347
3036,Frankenstein,112000000,135397,159824,105,3125,49017,76492,229,124905,3117,3079,3124,3145,135397,30793,3042,3149,58,36648,7131,288158,361042
8986,Milk Money,18137661,12225,9005,2690,15092,10995,979,50124,50270,10029,49010,1554,26579,12225,10541,8221,13596,38842,15802,121342,36630,18167
8438,Murder in the First,17381942,497,10734,10649,9802,687,10167,10354,898,26039,19373,28577,26714,497,48399,29023,110819,33224,172560,48354,28712,42321
1945,Nell,106683817,3170,3638,3640,25051,,,,,,,,,3170,,,,,,,,
713,The Piano,116700000,193687,1278,1440,4507,884,1628,521,36630,638,116,283227,2460,193687,3547,47244,4440,164251,402,53932,266,16642
241,Natural Born Killers,50282766,1949,1696,21407,12521,10692,10781,562,293970,29161,769,238636,63360,1949,8090,948,9373,867,9411,984,158011,9299
12106,The Quick and the Dead,18552460,196,1023,682,50456,8068,4141,15067,7516,11595,12764,188161,20533,196,13637,11874,12160,12639,31283,11697,6073,12543
527,Once Were Warriors,6,3134,59967,44925,9388,27576,238636,8090,357096,4723,133805,9373,281,3134,219814,956,10692,74997,2017,24469,185,11798
6950,Outbreak,189859560,119450,563,61791,149,8987,975,18976,923,100788,226282,297781,85191,119450,,,,,,,,
101,Léon,45284974,278,26390,36023,193893,807,97020,49049,1368,1883,12622,46027,4771,278,3580,35056,7347,36715,36024,7007,11423,8838
161495,Roommates,12400000,27576,2788,34614,76127,3960,84168,11984,3397,72120,,,,27576,,,,,,,,
63020,The Perez Family,2832826,263472,274854,76757,254470,109445,24428,257211,1771,24469,546,26579,106646,263472,16980,12271,25968,603,49342,30302,216015,40156
680,Pulp Fiction,213928762,1366,1367,1371,1374,23168,1246,17218,1375,26390,921,8688,1578,1366,6,10400,16993,8489,36351,26378,31024,31554
41478,Panther,6834525,5822,164367,183871,842,31715,284054,42589,118081,,,,,5822,,,,,,,,
25296,Pushing Hands,152322,,,,,,,,,,,,,,,,,,,,,
2636,The Specialist,170362582,27576,46957,357096,76341,263472,59967,245891,37835,260346,89728,168259,98566,27576,238636,3134,49026,101299,59936,241554,278632,201088
2164,Stargate,196567262,602,13475,10294,23816,,,,,,,,,602,,,,,,,,
11395,The Santa Clause,189833357,9479,233481,10719,9021,8871,149235,634,9279,13377,51052,26809,54443,9479,1585,9647,10147,17979,927,5255,364,10872
278,The Shawshank Redemption,28341469,201088,101,1883,575,28691,638,5996,1368,25788,128819,13291,26390,201088,91865,10536,687,9303,1429,9281,13161,4911
87078,Suture,102,,,,,,,,,,,,,,,,,,,,,
9067,Tank Girl,6600000,76341,294254,602,201088,7299,262543,7191,284289,2978,10303,11576,3989,76341,929,4723,1858,12162,1368,11676,8393,282813
193,Star Trek: Generations,120000000,18,212986,23160,298077,342382,167408,361065,,,,,,18,,,,,,,,
25066,Tales from the Hood,11,357096,39918,76341,263472,245891,26390,10651,27576,15069,16825,948,260346,357096,67740,27760,201088,101299,59967,238636,4771,979
1587,What's Eating Gilbert Grape,30000000,24469,11421,26579,333091,14662,41282,25968,13342,880,40156,18514,259124,24469,60994,22323,197542,3134,13685,1024,11023,59940
2064,While You Were Sleeping,182057016,277216,1367,27576,277,9388,9679,48138,1925,1539,73129,781,8470,277216,13813,2018,164,10731,64,8649,11005,1997
60855,Double Happiness,759393,,,,,,,,,,,,,,,,,,,,,
236,Muriel's Wedding,15119639,271,207,453,590,442,245,858,866,1364,712,523,334,271,10566,140,164,1429,711,8390,16,17130
3049,Ace Ventura: Pet Detective,107217396,28256,91554,963,8224,175,9319,11453,192149,32669,177494,14013,8072,28256,8512,41805,2620,910,363607,6037,26141,9548
10497,Bitter Moon,1862805,2820,3542,11192,53932,1630,4561,884,4588,64586,1412,26648,8653,2820,4241,4376,1882,67018,223045,2905,11766,324002
9331,Clear and Present Danger,215887717,27576,238713,296098,201088,708,817,6637,75656,646,117251,137094,820,27576,97630,192102,691,586,253,657,4836,
9495,The Crow,94000000,671,601,11357,10439,11675,97020,10987,11281,948,8839,241848,361042,671,9479,13223,24150,290637,4232,275950,82679,24253
29973,Cobb,1007583,307081,106646,87492,920,769,321697,198185,39254,266856,152532,14709,287,307081,19140,14325,9955,489,11431,227306,423,1883
888,The Flintstones,341631208,862,1267,889,2253,10152,12225,4507,10991,784,3591,1213,5177,862,4629,36536,21915,19366,1628,349,3361,211
13,Forrest Gump,677945399,10995,37265,12225,263472,4507,27066,36630,14883,34093,52371,292431,219814,10995,68718,41782,249397,50270,39899,18167,98025,27088
