tmdbid,title,revenue, yes, yes, yes
52855,Dangerous Ground,3028094
1770,Michael Collins,16900000
10861,Maximum Risk,51702483
44465,The Rich Man's Wife,8538318
9333,Last Man Standing,47267001
9400,Set  It Off,41590886
12241,Curdled,49620
10680,D3: The Mighty Ducks,22955097
6346,The Chamber,22540359
14821,Escape to Witch Mountain,20000000
173,20,000 Leagues Under the Sea,28200000
864,Cool Runnings,154864401
38153,Shadow Conspiracy,2154540
24795,Angels in the Outfield,50236831
11224,Cinderella,62141149
8367,Robin Hood: Prince of Thieves,390493908
433,Mary Poppins,102272727
11360,Dumbo,1600000
12092,Alice in Wonderland,572000000
10948,The Fox and the Hound,29800000
15121,The Sound of Music,163214286
562,Die Hard,138708852
10163,The Lawnmower Man,32101000
11159,Secrets & Lies,13417292
9591,That Thing You Do!,34585416
30500,To Gillian on Her 37th Birthday,4137645
41843,Surviving Picasso,1985001
25147,Jude,405000
49471,Get on the Bus,5731103
454,Romeo + Juliet,147298761
10218,Swingers,4505922
819,Sleepers,165615285
47139,Blood, Guts, Bullets and Octane,13674
252,Willy Wonka & the Chocolate Factory,4000000
11561,Sleeper,18344729
623,A Fish Called Wanda,62493712
583,Life of Brian,20045115
12614,Victor Victoria,28215453
9631,The Negotiator,44547681
11575,The Great Race,25333333
475,Bonnie and Clyde,50700000
521,Dial M for Murder,3000000
88,Dirty Dancing,213954274
500,Reservoir Dogs,14661007
792,Platoon,138530565
8491,Weekend at Bernie's,30218387
402,Basic Instinct,352927224
11386,The Crying Game,62548947
9504,Glengarry Glen Ross,10725228
601,E.T. the Extra-Terrestrial,792910554
2119,Days of Thunder,157920733
744,Top Gun,356830601
136311,American Strays,1910
702,A Streetcar Named Desire,8000000
1630,The People vs. Larry Flynt,20300385
11816,On Golden Pond,19255967
11843,The Return of the Pink Panther,41833347
47908,The Trip to Bountiful,7218340
10379,Drop Dead Fred,13
2756,The Abyss,90000098
790,The Fog,21378361
1103,Escape from New York,50000000
11298,The Howling,17985893
762,Monty Python and the Holy Grail,5028948
44497,Hustler White,127251
79306,Snowriders,2035470
38251,Mediterraneo,4532791
41326,American Dream,269823
11216,Nuovo Cinema Paradiso,11990401
892,Delicatessen,13760640
1600,La double vie de Véronique,1999955
26561,Enchanted April,13200170
